"POST ID","State","Make and Model","Post Date","Asking $"
"SIA35964","CA",,"20 JUN 2016","$5500"
"SIA35947","TN",,"19 JUN 2016","$45000"
"SIA35931","TX",,"16 MAY 2016","$61900"
"SIA35927","TX",,"14 MAY 2016","$16500"
"SIA35898","AL",,"20 JUN 2016",""
"SIA35896","MI",,"18 JUN 2016","$12450"
"SIA35889","FL",,"24 MAR 2016","$27500"
"SIA35862","MS",,"26 MAY 2016","$45500"
"SIA35843","AB",,"06 JUL 2016","$53000"
"SIA35828","CO",,"09 FEB 2016","$45000"
"SIA35824","FL",,"17 FEB 2016","$51500"
"SIA35810","NV",,"14 JUL 2016","$44995"
"SIA35807","WA",,"16 MAY 2016","$47500"
"SIA35803","AZ",,"22 JUL 2016","$89995"
"SIA35720","CA",,"18 JUN 2016","$19999"
"SIA35701","CA",,"23 JAN 2016","$15000"
"SIA35641","NC",,"02 JUN 2016","$53500"
"SIA35637","IN",,"02 APR 2016","$40995"
"SIA35631","CA",,"16 JAN 2016","$5995"
"SIA35630","CA",,"15 MAY 2016","$63500"
"SIA35629","WI",,"16 JAN 2016","$7500"
"SIA35605","FL",,"27 JUN 2016","$25995"
"SIA35594","NV",,"23 JUN 2016",""
"SIA35588","CA",,"14 MAY 2016","$57000"
"SIA35559","AZ",,"16 MAY 2016",""
"SIA35528","OK",,"18 JUN 2016","$36900"
"SIA35517","NV",,"19 JUL 2016","$95995"
"SIA35508","FL",,"05 APR 2016","$39999"
"SIA35495","WI",,"19 JUN 2016",""
"SIA35479","AZ",,"21 JUL 2016","$84995"
"SIA35476","CA",,"23 MAY 2016","$10499"
"SIA35473","NC",,"24 JUL 2016","$7400"
"SIA35466","MO",,"15 DEC 2015","$21175"
"SIA35462","CA",,"17 MAY 2016",""
"SIA35460","SC",,"14 DEC 2015","$8200"
"SIA35450","WI",,"02 APR 2016","$25690"
"SIA35313","AZ",,"16 MAY 2016","$49995"
"SIA35296","CA",,"30 JUN 2016","$9400"
"SIA35263","AZ",,"22 JUL 2016","$14995"
"SIA35183","TN",,"16 MAY 2016",""
"SIA35123","CA",,"21 FEB 2016","$67000"
"SIA35097","CA",,"17 MAY 2016",""
"SIA35084","FL",,"14 MAY 2016","$55500"
"SIA35001","NV",,"21 JUL 2016",""
"SIA34997","NV",,"09 JUN 2016",""
"SIA34996","NV",,"22 JUL 2016",""
"SIA34949","NV",,"16 MAY 2016",""
"SIA34919","OH",,"03 APR 2016","$4000"
"SIA34917","CA",,"12 APR 2016",""
"SIA34916","CA",,"18 JUN 2016",""
